galaxy,C_kin,C_conc,f_dm,Vmax,Rmax,N_points
CamB,0.752776,0.518556,0.351258,20.1,1.79,9
D631-7,0.674414,0.416038,0.893217,58.5,7.19,16
DDO064,0.13732,0.549582,0.719974,46.9,2.98,14
DDO154,0.657155,0.392283,0.870426,48.2,5.92,12
DDO161,0.328344,0.431321,0.792104,67.5,13.37,31
DDO168,0.52106,0.474255,0.772733,55.0,4.12,10
DDO170,0.836504,0.422933,0.771137,62.2,12.33,8
ESO079-G014,0.655995,0.554848,0.686664,178.0,16.67,15
ESO116-G012,0.684989,0.444142,0.80695,112.0,9.86,15
ESO563-G021,0.675974,0.467827,0.776417,321.0,42.41,30
F563-1,0.006118,0.319128,0.880146,112.5,20.1,17
F563-V2,0.708838,0.318077,0.832867,118.0,10.47,10
F568-1,0.764776,0.506882,0.840286,142.0,13.23,12
F568-3,0.449412,0.419873,0.79585,120.0,17.98,18
F568-V1,0.589423,0.443037,0.85926,118.0,17.63,15
F571-8,0.550831,0.199952,0.890625,144.0,15.55,13
F574-1,0.75811,0.490512,0.793652,99.7,12.6,14
F579-V1,0.526585,0.498996,0.749964,114.0,15.16,14
F583-1,0.02385,0.478689,0.789361,86.9,16.26,25
F583-4,0.445557,0.336228,0.794298,69.9,7.29,12
IC2574,0.237786,0.55875,0.778302,67.5,10.23,34
IC4202,0.582407,0.49866,0.633566,250.0,25.9,32
KK98-251,0.443319,0.597924,0.656669,34.6,3.13,15
NGC0024,0.000392,0.795206,0.874699,110.0,11.27,29
NGC0055,0.738798,0.527982,0.698652,87.4,13.5,21
NGC0100,0.707769,0.425511,0.844042,91.2,9.62,21
NGC0247,0.707779,0.506267,0.785599,108.0,14.54,26
NGC0289,0.447466,0.320694,0.797976,194.0,71.12,28
NGC0300,0.41675,0.438075,0.86778,97.0,11.8,25
NGC0801,0.001915,0.251668,0.603685,238.0,59.82,13
NGC0891,0.757562,0.317845,0.497597,234.0,17.11,18
NGC1003,0.679279,0.449733,0.867273,115.0,30.24,36
NGC1090,0.539785,0.432022,0.6708,176.0,30.09,24
NGC1705,0.63917,0.195644,0.922865,73.2,6.0,14
NGC2366,0.387597,0.405379,0.677906,53.7,6.06,26
NGC2403,0.002054,0.416637,0.853331,136.0,20.87,73
NGC2683,0.879757,0.3664,0.756705,212.0,34.62,11
NGC2841,0.293139,0.522115,0.865387,323.0,63.64,50
NGC2903,0.0643,0.417979,0.739697,216.0,24.96,34
NGC2915,0.215667,0.286877,0.927422,86.5,10.04,30
NGC2955,0.187649,0.381102,0.510723,276.0,35.43,24
NGC2976,0.010517,0.637209,0.489435,88.7,2.27,27
NGC2998,0.395429,0.259186,0.68029,214.0,42.28,13
NGC3109,0.514076,0.481195,0.895341,67.3,6.45,25
NGC3198,0.135926,0.452513,0.807621,157.0,44.08,43
NGC3521,0.025188,0.398879,0.652019,220.0,17.74,41
