galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
CamB,0.7527759264105269,0.518555531848532,0.3512575646988731,0.34532856674115714,20.1,1.79,9,-1.6491376480385216,-1.4320350888806288,-0.4448945230877455,0.12626382525799817,0.3208212868480751,,1.3031960574204888
D631-7,0.6744140024204207,0.416038068784123,0.8898178192529994,0.7312885826359294,58.5,7.19,16,-0.13021663045091522,0.5003739499530652,0.7287761427884298,0.8396322919890178,0.8868618460041322,,1.7671558660821804
DDO064,0.1373202013852854,0.5495820431101823,0.7199736467167197,0.5941411615849397,46.9,2.98,14,0.863755822594379,0.7449074248073565,0.7885240993489876,0.735979982135028,,,1.6711728427150832
DDO154,0.6571548003789294,0.3922830891960166,0.870426287481052,0.8157307248641869,48.2,5.92,12,0.5912683159945081,0.7753656761816394,0.8230337941469132,0.8442309989770264,0.8694489711322169,,1.6830470382388496
DDO161,0.3283437524621596,0.4313209412079084,0.7692187724468766,0.790008745744346,67.5,13.37,31,0.40198424443570824,0.4985089036300896,0.6664367059906333,0.7024138023809328,0.7690521413193997,,1.8293037728310249
DDO168,0.5210602846614044,0.47425509947395067,0.7727330585500135,0.7801967850393717,55.0,4.12,10,0.31133513288041703,0.4919101790283148,0.7171179447211179,0.7602093510243317,0.7794945674847835,,1.7403626894942439
DDO170,0.8365038752834627,0.4229334266315027,0.7711371342178549,0.7601995728414176,62.2,12.33,8,0.6861936816588257,0.769623349504478,0.7446442504269966,0.7376545213011365,0.7651571805555556,,1.7937903846908188
ESO079-G014,0.6559949320868561,0.5548478159790982,0.6866638620508888,0.08425591111153974,178.0,16.67,15,0.46080230808063505,0.6289640672618483,0.7188337861899874,0.6627245615698877,0.6776410801297357,,2.250420002308894
ESO116-G012,0.6849889760180274,0.44414178716488556,0.8069498517898412,0.26327208395528034,112.0,9.86,15,0.5889108105029303,0.686904924299505,0.7462043550714403,0.7939708729022993,0.7985978245597619,,2.0492180226701815
ESO563-G021,0.6759736105868379,0.46782656450862914,0.7535326400007024,0.04784596169120614,321.0,42.41,30,-0.3087559540634704,0.5956619455983371,0.6234642931322527,0.6909241207160504,0.7650664677685782,,2.506505032404872
F563-1,0.0061178075835237496,0.3191284580221687,0.8848174737136782,0.6157847526758521,112.5,20.1,17,0.8588239031764614,0.9067776111111111,0.8875081615879573,0.8992880410699957,0.8866330723155589,,2.0511525224473814
F563-V2,0.7088381823645761,0.31807667700413955,0.8328668854187676,0.5131371719323952,118.0,10.47,10,0.8760566321421553,0.9075712036206397,0.900628947368421,0.8494633100475625,0.8311535707308518,,2.0718820073061255
F568-1,0.7647761981007187,0.5068819338514939,0.8402861274537892,0.40779499553872023,142.0,13.23,12,0.7721509120213165,0.9151674961652448,0.898732403311809,0.852332107148853,,,2.1522883443830563
F568-3,0.44941233657631996,0.419873138458017,0.7863956595747543,0.31141236146874696,120.0,17.98,18,0.6362578530961982,0.8242028478918509,0.7699169260882825,0.7662463376509057,0.8019809664694281,,2.0791812460476247
F568-V1,0.5894229883904466,0.44303682788452337,0.8592599437490689,0.28737009000508035,118.0,17.63,15,0.8314269889352308,0.9027191139159877,0.8808192851283376,0.8431522163051139,,,2.0718820073061255
F571-8,0.5508314912151552,0.19995201252697767,0.8906247642842416,0.018516464468703895,144.0,15.55,13,-1.616352180030752,0.5083942321463336,0.803906910119667,0.8760480851319952,,,2.1583624920952498
F574-1,0.758110311111792,0.49051180303244907,0.7936518549535426,0.20871608181395465,99.7,12.6,14,0.6955885772719741,0.8451527894202306,0.8406197441093567,0.8272648434975637,0.7991648491470137,,1.9986951583116557
F579-V1,0.5265847273049712,0.4989963146773426,0.7499642813173285,0.14136333464594425,114.0,15.16,14,0.8741634571722838,0.8074234514995892,0.7614857315866672,0.7422026687321648,0.7499828254847647,,2.0569048513364727
F583-1,0.02385003424111987,0.47868900059499114,0.8338185839605249,0.5220265466188106,86.9,16.26,25,0.7631515051475355,0.9043448467046254,0.874826978448097,0.8262720916520423,0.774127662842758,,1.9390197764486665
F583-4,0.44555712432759614,0.33622804423322517,0.794297646342217,0.1421229087960597,69.9,7.29,12,0.7865258342146179,0.7014225109554708,0.7413833017384713,0.7675103713646355,0.7853911912801659,,1.8444771757456815
IC2574,0.2377862840097517,0.5587498629047905,0.7734841292958594,0.492568695158449,67.5,10.23,34,0.5957827640407416,0.752976526682983,0.7377221103225798,0.7552365360268519,0.7732780203906432,,1.8293037728310249
IC4202,0.5824072844192577,0.49866004315347573,0.6051851414489196,0.05162673660529676,250.0,25.9,32,-1.2030118910793621,0.5368727961024974,0.5001924893502017,0.5537133049290796,0.6102703116131145,,2.3979400086720375
KK98-251,0.4433191684643477,0.5979236440306975,0.6566686034846326,0.7860237706431225,34.6,3.13,15,0.5993327767896139,0.5735099841377755,0.5610922425408572,0.6418667625044024,0.6573167329346122,,1.5390760987927767
NGC0024,0.0003915510290558131,0.7952060053847827,0.8157454915360999,0.1099424685952145,110.0,11.27,29,0.733676433189965,0.7584950031599853,,0.8281410143792025,0.8788364489521084,,2.041392685158225
NGC0055,0.7387977232268919,0.5279815482007459,0.6931368235644257,0.5873409973595943,87.4,13.5,21,0.3596346647312951,0.5268797935368141,0.6276015013579578,0.6610691032725128,0.6926558552098172,,1.941511432634403
NGC0100,0.7077689598711698,0.4255110555632466,0.837795885832662,0.15824231240367376,91.2,9.62,21,0.301927587509234,0.6018952354734551,0.7237955448453837,0.7940039178291552,0.8354977361814477,,1.9599948383284163
NGC0247,0.7077787016643992,0.5062670243245706,0.7672818391050958,0.34701864589293013,108.0,14.54,26,0.803451680409035,0.7605636336382453,0.7416974444672184,0.7400568529433575,0.761353783832395,,2.03342375548695
NGC0289,0.4474657926524567,0.32069391444035145,0.7779236706503359,0.20823267699323647,194.0,71.12,28,0.35423626416928844,0.6238251837192172,0.7246682253083316,0.7590539256163339,0.7752518225055554,,2.287801729930226
NGC0300,0.4167500181007639,0.4380747429781136,0.8593423169016616,0.27694540624575237,97.0,11.8,25,0.6523790070812485,0.771634349156351,0.7934305984088776,0.7944100522615779,0.8561882323109339,,1.9867717342662448
NGC0801,0.0019151310767776628,0.2516681367944391,0.6036845089354151,0.06692788173975847,238.0,59.82,13,0.17747669697701465,0.3861978943209877,0.4316222414603989,0.5258493171510392,0.6168697145061728,,2.376576957056512
NGC0891,0.7575620283642885,0.3178452851237944,0.4881991078469225,0.025087437023262386,234.0,17.11,18,-0.24290663467994048,-0.045689327986997985,0.24827923926699635,0.41251379867352544,0.47994401548290355,,2.369215857410143
NGC1003,0.6792790655133856,0.4497327180631564,0.8853258008057299,0.36687171921302664,115.0,30.24,36,0.4368048416032002,0.7162052726730457,0.7885878099151821,0.8674279601602093,0.8885347983688244,,2.060697840353612
NGC1090,0.5397851643792544,0.43202200485212294,0.6634084239531933,0.11092008940718684,176.0,30.09,24,-0.2304803319313306,0.4958988549097638,0.5262584417247769,0.6197783831618728,0.6636595944308159,,2.24551266781415
